glyph_id,panel_id,glyph_shape,nominal_h_mm,glyph_index,method,measurement_procedure,reference_h_mm,unit,reference_u_mm,instrument_id,instrument_cal_ref,operator,measured_at,n_repeats,raw_readings,cross_check_status,notes
P01:H:2.00:1,P01,H,2.000000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,2.030506,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:H:2.00:1,P01,H,2.000000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,2.038181,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:H:3.00:1,P01,H,3.000000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,3.031223,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:H:3.00:1,P01,H,3.000000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,3.047942,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:H:4.00:1,P01,H,4.000000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,4.025414,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:H:4.00:1,P01,H,4.000000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,4.021051,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:T:1.20:1,P01,T,1.200000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,1.233652,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:T:1.20:1,P01,T,1.200000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,1.187872,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:T:2.00:1,P01,T,2.000000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,2.036733,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:T:2.00:1,P01,T,2.000000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,2.038627,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:T:3.00:1,P01,T,3.000000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,3.041683,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:T:3.00:1,P01,T,3.000000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,3.053289,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:T:4.00:1,P01,T,4.000000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,4.039203,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:T:4.00:1,P01,T,4.000000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,4.037238,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:RING_O:1.20:1,P01,RING_O,1.200000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,1.216172,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:RING_O:1.20:1,P01,RING_O,1.200000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,1.208434,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:RING_O:2.00:1,P01,RING_O,2.000000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,2.031029,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:RING_O:2.00:1,P01,RING_O,2.000000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,2.047856,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:RING_O:3.00:1,P01,RING_O,3.000000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,3.048057,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:RING_O:3.00:1,P01,RING_O,3.000000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,3.036944,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:RING_O:4.00:1,P01,RING_O,4.000000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,4.041561,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:RING_O:4.00:1,P01,RING_O,4.000000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,4.048009,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
