run_id,fixture_id,experiment,variant,source,status,decision,reason_codes,true_h_mm,h_mm,lower_mm,upper_mm,threshold_mm,error_mm,abs_error_mm,covered,h_raw_mean_mm,h_maxminus_min_mm,maxminus_min_error_mm,burst_sd_mm,u_random_mm,u_scale_mm,u_seg_mm,u_c_mm,interval_width_mm,rho_min_px_per_mm,blur_sigma_mm,michelson_contrast,snr,overshoot_ratio,reproj_rms_px,reproj_max_px,edge_rms_px,lomo_rel_spread,view_tilt_deg,z_mm,hull_margin_mm,jacobian_ratio,scanline_fraction,median_crossings,thickness_over_z,clip_bright_frac,clip_dark_frac,frames_ok,frames_requested,failed_stage,failed_gate,glyph_shape,shape_class,design_h_mm,ink_spread_mm,pose_tilt_deg,pose_z_mm,glyph_plane_offset_mm,glyph_plane_tilt_deg,undistort_enabled,linearize_enabled,algorithm_version,timing_s,safety_class
E_DISTORT-offaxis__undistort_off,E_DISTORT-offaxis,E_DISTORT,undistort_off,synthetic,PHYSICAL_SIZE_NOT_ESTABLISHED_GEOMETRY,,PHYSICAL_SIZE_NOT_ESTABLISHED_GEOMETRY|GATE_REPROJ_RMS_PX,3.060000,,,,2.754000,,,,3.069590,3.078381,0.018381,0.003911,0.001478,0.003275,0.017464,0.017998,0.059214,17.795199,0.053879,0.909707,427.909401,0.009629,0.827271,1.201665,0.064529,0.001987,0.427235,,20.000000,1.000809,0.958333,2.000000,0.000000,0.000000,0.000000,7,7,GEOMETRY,reproj_rms_px,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,False,True,P0-min-1.0.0,1.924747,DIAGNOSTIC
E_DISTORT-offaxis__undistort_on,E_DISTORT-offaxis,E_DISTORT,undistort_on,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.060000,3.061138,3.034071,3.088205,2.754000,0.001138,0.001138,1,3.061138,3.063407,0.003407,0.003329,0.001258,0.000179,0.016221,0.016454,0.054134,17.884680,0.053603,0.909689,613.130473,0.007898,0.079269,0.173543,0.064529,0.000271,0.405649,,20.000000,1.000790,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,1.926052,DIAGNOSTIC
E_ILLUM-glare-mild__base,E_ILLUM-glare-mild,E_ILLUM,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.060000,3.062755,3.037308,3.088202,2.754000,0.002755,0.002755,1,3.062755,3.063987,0.003987,0.002058,0.000778,0.000244,0.015252,0.015469,0.050893,17.902564,0.053746,0.909196,638.016695,0.006109,0.117933,0.198066,0.059343,0.000286,0.455403,,27.000000,1.000085,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.573950,SAFE
E_ILLUM-gradient__base,E_ILLUM-gradient,E_ILLUM,base,synthetic,PHYSICAL_SIZE_NOT_ESTABLISHED_GEOMETRY,,PHYSICAL_SIZE_NOT_ESTABLISHED_GEOMETRY|GATE_REPROJ_RMS_PX,3.060000,,,,2.754000,,,,3.060393,3.061464,0.001464,0.002500,0.000945,0.002973,0.016199,0.016677,0.054867,17.899704,0.045406,0.909928,594.391473,0.008353,0.491297,0.990721,0.068045,0.001989,0.448468,,27.000000,1.000119,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,GEOMETRY,reproj_rms_px,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.665933,SAFE
E_INKSPREAD-0.00__base,E_INKSPREAD-0.00,E_INKSPREAD,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.000000,3.002588,2.976401,3.028774,2.700000,0.002588,0.002588,1,3.002588,3.006657,0.006657,0.001663,0.000629,0.000190,0.015723,0.015919,0.052373,17.907630,0.053869,0.909330,595.936608,0.008946,0.082450,0.115009,0.059071,0.000209,0.529599,,27.000000,1.000054,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.578471,SAFE
E_INKSPREAD-0.03__base,E_INKSPREAD-0.03,E_INKSPREAD,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.060000,3.058958,3.030933,3.086982,2.754000,-0.001042,0.001042,1,3.058958,3.060608,0.000608,0.003833,0.001449,0.000230,0.016796,0.017036,0.056050,17.906417,0.053665,0.909800,611.175068,0.010497,0.113118,0.236304,0.061614,0.000190,0.307663,,27.000000,1.000087,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.680938,SAFE
E_INKSPREAD-0.06__base,E_INKSPREAD-0.06,E_INKSPREAD,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.120000,3.119906,3.093865,3.145947,2.808000,-0.000094,0.000094,1,3.119906,3.120724,0.000724,0.003316,0.001253,0.000165,0.015581,0.015830,0.052082,17.818372,0.053865,0.910224,632.155457,0.006101,0.095704,0.156498,0.060210,0.000155,0.558589,,27.000000,1.000079,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.060000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.581208,SAFE
E_INKSPREAD-0.12__base,E_INKSPREAD-0.12,E_INKSPREAD,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.240000,3.238125,3.212361,3.263888,2.916000,-0.001875,0.001875,1,3.238125,3.240451,0.000451,0.003844,0.001453,0.000211,0.015376,0.015662,0.051527,17.901711,0.053717,0.910597,622.804175,0.005637,0.114272,0.218403,0.059572,0.000329,0.318843,,27.000000,1.000078,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.120000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.602367,SAFE
E_LINEARIZE-nominal__gamma,E_LINEARIZE-nominal,E_LINEARIZE,gamma,synthetic,PHYSICAL_SIZE_NOT_ESTABLISHED_GEOMETRY,,PHYSICAL_SIZE_NOT_ESTABLISHED_GEOMETRY|GATE_REPROJ_RMS_PX,3.060000,,,,2.754000,,,,3.016498,3.029849,-0.030151,0.002950,0.001115,0.000252,0.017197,0.017403,0.057256,17.972334,0.057547,0.617618,1112.243689,0.004158,0.622244,0.785729,0.067821,0.000209,0.306961,,27.000000,1.000186,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,GEOMETRY,reproj_rms_px,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,False,P0-min-1.0.0,3.615615,DIAGNOSTIC
E_LINEARIZE-nominal__gamma_glyph_only,E_LINEARIZE-nominal,E_LINEARIZE,gamma_glyph_only,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.060000,3.015860,2.987262,3.044458,2.754000,-0.044140,0.044140,0,3.015860,3.029292,-0.030708,0.002975,0.001124,0.000196,0.017179,0.017385,0.057196,17.974774,0.053540,0.617627,1106.959795,0.004383,0.099920,0.185655,0.059533,0.000167,0.299449,,27.000000,1.000053,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,False,P0-min-1.0.0,3.694801,DIAGNOSTIC
E_LINEARIZE-nominal__linear,E_LINEARIZE-nominal,E_LINEARIZE,linear,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.060000,3.060435,3.033636,3.087233,2.754000,0.000435,0.000435,1,3.060435,3.062313,0.002313,0.002549,0.000963,0.000199,0.016076,0.016291,0.053597,17.974774,0.053540,0.910259,618.890068,0.008373,0.099920,0.185655,0.059533,0.000167,0.299449,,27.000000,1.000053,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.640491,DIAGNOSTIC
E_MATH-BAR_I-2.0__base,E_MATH-BAR_I-2.0,E_MATH,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,2.000000,2.000000,1.978731,2.021269,1.800000,0.000000,0.000000,1,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.012830,0.012929,0.042537,18.000000,0.034682,0.906977,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,27.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,2.000000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.462530,SAFE
E_MATH-BAR_I-4.0__base,E_MATH-BAR_I-4.0,E_MATH,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,4.000000,4.000000,3.978249,4.021751,3.600000,0.000000,0.000000,1,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.012830,0.013222,0.043502,18.000000,0.034682,0.906977,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,27.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,4.000000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.487894,SAFE
E_MATH-H-2.0__base,E_MATH-H-2.0,E_MATH,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,2.000000,2.000000,1.978731,2.021269,1.800000,-0.000000,0.000000,1,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.012830,0.012929,0.042537,18.000000,0.034682,0.906977,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,27.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,H,FLAT_TOP,2.000000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.481152,SAFE
E_MATH-H-4.0__base,E_MATH-H-4.0,E_MATH,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,4.000000,4.000000,3.978249,4.021751,3.600000,0.000000,0.000000,1,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.012830,0.013222,0.043502,18.000000,0.034682,0.906977,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,27.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,H,FLAT_TOP,4.000000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.540081,SAFE
E_MATH-RING_O-2.0__base,E_MATH-RING_O-2.0,E_MATH,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,2.000000,1.992033,1.972893,2.011174,1.800000,-0.007967,0.007967,1,1.992033,1.994590,-0.005410,0.000000,0.000516,0.000000,0.011514,0.011635,0.038281,18.000000,0.034682,0.906977,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,27.000000,1.000000,1.000000,4.000000,0.000000,0.000000,0.000000,7,7,,,RING_O,ROUND,2.000000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.496846,SAFE
E_MATH-RING_O-4.0__base,E_MATH-RING_O-4.0,E_MATH,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,4.000000,3.997106,3.978406,4.015805,3.600000,-0.002894,0.002894,1,3.997106,4.000000,0.000000,0.000000,0.000904,0.000000,0.010872,0.011368,0.037399,18.000000,0.034682,0.906977,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,27.000000,1.000000,1.000000,4.000000,0.000000,0.000000,0.000000,7,7,,,RING_O,ROUND,4.000000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,4.014979,SAFE
E_MATH-T-2.0__base,E_MATH-T-2.0,E_MATH,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,2.000000,2.001459,1.980457,2.022462,1.800000,0.001459,0.001459,1,2.001459,2.017512,0.017512,0.000000,0.000366,0.000000,0.012661,0.012767,0.042005,18.000000,0.034682,0.906977,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,27.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,T,FLAT_TOP,2.000000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.421138,SAFE
E_MATH-T-4.0__base,E_MATH-T-4.0,E_MATH,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,4.000000,4.000030,3.978285,4.021776,3.600000,0.000030,0.000030,1,4.000030,4.000362,0.000362,0.000000,0.000008,0.000000,0.012827,0.013219,0.043491,18.000000,0.034682,0.906977,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,27.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,T,FLAT_TOP,4.000000,0.000000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.682861,SAFE
E_NOISE-0.000__base,E_NOISE-0.000,E_NOISE,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.060000,3.059311,3.034003,3.084620,2.754000,-0.000689,0.000689,1,3.059311,3.060296,0.000296,0.003594,0.001359,0.000263,0.015126,0.015385,0.050616,17.901212,0.053055,0.906977,4340.470002,0.000000,0.119872,0.222718,0.056467,0.000347,0.397392,,27.000000,1.000108,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.597068,DIAGNOSTIC
E_NOISE-0.005__base,E_NOISE-0.005,E_NOISE,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.060000,3.061554,3.035023,3.088086,2.754000,0.001554,0.001554,1,3.061554,3.064281,0.004281,0.002419,0.000914,0.000187,0.015914,0.016129,0.053063,17.877355,0.054881,0.914692,242.944649,0.016597,0.106209,0.225466,0.063395,0.000141,0.475539,,27.000000,1.000114,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.628346,DIAGNOSTIC
E_NOISE-0.012__base,E_NOISE-0.012,E_NOISE,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.060000,3.061478,3.036147,3.086810,2.754000,0.001478,0.001478,1,3.061478,3.065898,0.005898,0.003115,0.001177,0.000158,0.015157,0.015399,0.050663,17.885963,0.056026,0.925756,110.332235,0.037592,0.093356,0.178489,0.071618,0.000227,0.332789,,27.000000,1.000072,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.617349,DIAGNOSTIC
E_NOISE-0.025__base,E_NOISE-0.025,E_NOISE,base,synthetic,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY,,PHYSICAL_SIZE_NOT_ESTABLISHED_IMAGE_QUALITY|GATE_BLUR_SIGMA_MM,3.060000,,,,2.754000,,,,3.062352,3.070513,0.010513,0.003491,0.001320,0.000173,0.016188,0.016426,0.054043,17.971119,0.060071,0.949505,47.710608,0.084976,0.116677,0.191277,0.104599,0.000222,0.561607,,27.000000,1.000040,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,IMAGE_QUALITY,blur_sigma_mm,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.589718,DIAGNOSTIC
E_NOMINAL-BAR_I-1.5__base,E_NOMINAL-BAR_I-1.5,E_NOMINAL,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,1.560000,1.560055,1.533095,1.587014,1.404000,0.000055,0.000055,1,1.560055,1.561839,0.001839,0.003340,0.001262,0.000085,0.016292,0.016389,0.053920,17.828351,0.053725,0.902006,106.296844,0.007579,0.132719,0.223497,0.063405,0.000191,0.366525,,27.000000,1.000067,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,1.500000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.467611,SAFE
E_NOMINAL-BAR_I-2.0__base,E_NOMINAL-BAR_I-2.0,E_NOMINAL,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,2.060000,2.060023,2.032842,2.087205,1.854000,0.000023,0.000023,1,2.060023,2.063195,0.003195,0.003038,0.001148,0.000118,0.016401,0.016524,0.054363,17.879929,0.053834,0.908418,238.216151,0.009427,0.083523,0.168963,0.064764,0.000200,0.512751,,27.000000,1.000072,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,2.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.496843,SAFE
E_NOMINAL-BAR_I-3.0__base,E_NOMINAL-BAR_I-3.0,E_NOMINAL,base,synthetic,MEASURED,MEETS_SCREENING_THRESHOLD,,3.060000,3.058986,3.032512,3.085459,2.754000,-0.001014,0.001014,1,3.058986,3.061124,0.001124,0.003199,0.001209,0.000213,0.015859,0.016093,0.052947,17.902934,0.053639,0.909970,622.330097,0.007025,0.103280,0.167036,0.060126,0.000173,0.484811,,27.000000,1.000093,1.000000,2.000000,0.000000,0.000000,0.000000,7,7,,,BAR_I,FLAT_TOP,3.000000,0.030000,0.000000,200.000000,0.000000,0.000000,True,True,P0-min-1.0.0,3.561226,SAFE
